﻿Código;Arquivo;Título;Domínio;Objetivo (resumo);Escopo principal;Dependências principais;Observações (protótipo)
PRD-03-01;PRD-PLATAFORMA-FUNDACAO-ANALITICA.md;Plataforma analítica — fundação módulos e governança;Plataforma;Ambiente único de análises com lentes de negócio isoladas e governança;Seleção de módulo, reset de contexto, catálogo por lente, permissões, auditoria de exportação;Catálogo de dimensões e métricas, identidade corporativa, motor de consulta;Dados mockados, sem IAM nem SLA formal
PRD-03-02;PRD-EXPERIENCIA-WIZARD-JORNADA.md;Jornada analítica guiada — etapas;Experiência;Sequência seleção agrupamento exclusão resultado com validações;Cabeçalho por etapas, cartões, limite de agrupamento, bloqueios, loaders, estados vazios;Temporalidade e comparativos, catálogo de métricas;Fluxo desktop-first, persistência de rascunho a definir
PRD-03-03;PRD-DADOS-DIMENSOES-LOCAIS.md;Dimensões de localização e canal;Dados;Recortes territoriais e operacionais coerentes (rede, loja, canal);Filtros dependentes, permissão por território, formatos canônicos, escalabilidade de listas;Cadastro mestre de lojas, API de território autorizado;Listas simuladas, mensagens para cadastro incompleto a evoluir
PRD-03-04;PRD-DADOS-DIMENSOES-PRODUTO.md;Dimensões de produto e sortimento;Dados;Hierarquia de sortimento, coerências, marca, franquia;Cartões e busca, grupos visuais de marca, regras categoria/modalidade, grupo/subgrupo, alimentos, sala/mesa;PIM/MDM, dicionário de franquia;Franquia com lista fixa, dependência marca × franquia a formalizar
PRD-03-05;PRD-METRICAS-CATALOGO-SELECAO.md;Catálogo de métricas — grupos e seleção;Métricas;Linguagem única de indicadores, seleção múltipla, ordem de colunas;Barra lateral, accordions, tooltips, dicionário, formatos, métricas sensíveis;Motor de resultado, dicionário corporativo;Ordem por clique a confirmar, limite máximo de métricas pendente
PRD-03-06;PRD-TEMPORALIDADE-JANELAS-COMPARATIVOS.md;Temporalidade — janelas e comparativos;Temporalidade;Períodos, comparativos e baselines sem ambiguidade;Diário, mensal, anual, comparativo, evolução, hora a hora, validação de duas janelas, baselines;Motor temporal, calendário corporativo, fuso horário;Precedência entre baselines, fórmulas com denominador zero a fechar
PRD-03-07;PRD-ANALISE-RESULTADOS-TABELA-GRAFICO.md;Resultado — tabela gráfico e participação relativa;Análise;Mesmo recorte em tabela e gráfico, share quando aplicável;Sincronização tabela/gráfico, share, totais, ordenação, paginação, concorrência;Métricas, temporalidade, dimensões;Dados simulados, regras de share e exclusões a formalizar
PRD-03-08;PRD-OPERACAO-EXPORTACAO-RESULTADOS.md;Exportação — PDF/captura e governança;Operação;Compartilhar evidência com metadados e auditoria;Exportar, feedback, permissão, retry, idempotência, marca d'água;Resultado analítico, biblioteca de documento;Exportação no cliente, política servidor e classificação pendentes
PRD-03-09;PRD-MODULO-PRODUTO-VENDA-ESTOQUE.md;Módulo Produto — venda e estoque;Módulo Produto;Performance comercial e estoque por sortimento e localização;Localização/canais, produto, métricas (planejamento/exposição se mantidos);PRDs de dados, métricas, tempo, resultado, exportação;Validar MVP corporativo dos blocos especiais de métricas
PRD-03-10;PRD-MODULO-LOJA-PONTO-VENDA.md;Módulo Loja — território e produto embutido;Módulo Loja;Análise por base de lojas com bloco produto consistente;Território, setor, vendedor, bloco produto, permissões;Dimensões locais e de produto, métricas;Paridade de regras de produto, subset de métricas vs Produto a definir
PRD-03-11;PRD-MODULO-INDICADORES-KPI.md;Módulo Indicadores — KPI operacional;Módulo Indicadores;KPIs de execução separados do financeiro detalhado;Mesma jornada, catálogo próprio, denominador zero, cobertura parcial;Fontes operacionais PDV/ERP por KPI;Dados mockados, SLA de atualização por KPI pendente
PRD-03-12;PRD-MODULO-EXTRAVIOS-ROADMAP.md;Módulo Extravios — estado e roadmap;Módulo Extravios;Reservar lente e planejar perdas e divergências;Placeholder com escopo reduzido, roadmap de ocorrência e conciliação;Inventário WMS financeiro futuro;Não posicionar como produto final, catálogo próprio para go-live
